connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,last_price,quote_volume_24h,volume_base_24h,bid_price,ask_price,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,rule_estimate_source,last_trade_at_ms,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score,best_bid,best_ask,mid_price,spread_abs,bid_top_quote,ask_top_quote,orderbook_levels_bid,orderbook_levels_ask,bid_depth_quote_5bps,ask_depth_quote_5bps,sym_depth_quote_5bps,bid_depth_quote_10bps,ask_depth_quote_10bps,sym_depth_quote_10bps,bid_depth_quote_25bps,ask_depth_quote_25bps,sym_depth_quote_25bps,n_candles,candle_first_ts,candle_last_ts,candle_expected,candle_missing,coverage_ratio,zero_volume_fraction,natr_bps_mean,realized_vol_bps,efficiency_ratio,lag1_return_autocorr,median_quote_volume_per_bar,recent_trade_count,trades_per_minute,trade_quote_volume,trade_quote_volume_per_minute,last_trade_age_sec,median_trade_quote,buy_trade_fraction,vol_to_spread_ratio,volume_rank,depth_rank,spread_rank,top_rank,activity_rank,quality_rank,alpha_natr_score,alpha_efficiency_score,alpha_edge_score,alpha_rank,screen_score,rejection_reasons,rejection_reason,passed_filters
nonkyc,ENA/USDT,ENA-USDT,ENA,USDT,True,active,0.0936,109425.6642,1146405.54,0.093,0.0942,128.20512820512891,1990.0607220000002,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309489022.0,False,0.871244635193133,0.09999999999999998,0.0,50.418454935622314,0.093,0.0942,0.0936,0.0012000000000000066,3235.61973,1990.0607220000002,35,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,1774221900.0,1774309500.0,293,5,0.9829351535836177,0.0,27.390199343624968,39.824860302466405,0.03533026113671266,-0.0480622601517198,92.3038,0,,,,,,,0.21364355488027356,0.625,0.4625,0.03749999999999998,0.9625,0.0,0.9906143344709899,1.0,0.7066052227342531,0.0,0.5688684075780843,48.14482742049074,"['spread_bps>90', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",spread_bps>90; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,BELLS/USDT,BELLS-USDT,BELLS,USDT,True,active,0.053635,54892.9588,1062730.34,0.053627,0.054085,85.0415923945336,0.5819546,1e-06,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309255129.0,False,0.8240343347639485,0.4782608695652174,0.0,57.27841015114761,0.053627,0.054085,0.053856,0.0004580000000000001,0.5850705700000001,0.5819546,68,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,1774216500.0,1774309200.0,310,22,0.9290322580645162,0.0,59.85365487351896,42.07129298278028,0.0671900556100753,-0.36889473983650345,124.57889237500001,0,,,,,,,0.703816252591318,0.4875,0.4625,0.2875,0.675,0.0,0.9609677419354838,1.0,1.0,0.0,0.6666666666666666,47.226344086021506,"['quote_volume_24h<100000', 'top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40', 'coverage_ratio<0.95']",quote_volume_24h<100000; top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40; coverage_ratio<0.95,False
nonkyc,INJ/USDT,INJ-USDT,INJ,USDT,True,active,3.08,99014.4811,32627.73,3.06,3.1,129.87012987012997,3335.3520000000003,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309484582.0,False,0.8540772532188842,0.09130434782608698,0.0,49.25685762269081,3.06,3.1,3.08,0.040000000000000036,3422.8853999999997,3335.3520000000003,50,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,1774220100.0,1774309500.0,299,11,0.9632107023411371,0.0,17.542389326541645,32.386612666188526,0.0952380952380952,-0.10214966890210485,59.363315,0,,,,,,,0.13507639781437056,0.575,0.4625,0.012499999999999956,0.9875,0.0,0.9797658862876255,0.7951991105451371,1.0,0.0,0.5983997035150458,46.93165589802671,"['quote_volume_24h<100000', 'spread_bps>90', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",quote_volume_24h<100000; spread_bps>90; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,PENGU/USDT,PENGU-USDT,PENGU,USDT,True,active,0.006982,24127.838,3458382.68,0.006973,0.007017,61.47687468725375,0.17209364,1e-06,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309482033.0,False,0.7424892703862661,0.8130434782608695,0.0,61.16299682776638,0.006973,0.007016,0.0069945,4.2999999999999636e-05,0.17209364,316.8962324,49,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,1774221900.0,1774309200.0,292,4,0.9863013698630136,0.0,39.82764322992316,45.3809039663447,0.05157427081321239,-0.13597350338818456,24.21603675,0,,,,,,,0.6478475594690696,0.3,0.4625,0.625,0.3875,0.0,0.9924657534246575,1.0,1.0,0.0,0.6666666666666666,46.141324200913246,"['quote_volume_24h<100000', 'top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",quote_volume_24h<100000; top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,BC2/USDT,BC2-USDT,BC2,USDT,True,active,0.910214,71487.0059,77024.2128,0.905274,0.913002,85.00359681368457,2.2492437804,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774309366435.0,False,0.8326180257510729,0.5304347826086957,0.0,59.05486098152642,0.905274,0.913002,0.909138,0.007727999999999957,2.2492437804,2.2531063356,157,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,1774219800.0,1774309500.0,300,12,0.96,0.0,80.6484890836549,58.230011347383176,0.0054508352954367074,-0.2467148895814135,200.768293213,0,,,,,,,0.9487656064769185,0.5125,0.4625,0.30000000000000004,0.7875,0.0,0.978,1.0,0.10901670590873415,0.0,0.3696722353029114,46.126722353029116,"['quote_volume_24h<100000', 'top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",quote_volume_24h<100000; top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,OPN/USDT,OPN-USDT,OPN,USDT,True,active,0.2394,28479.7844,115366.92,0.2383,0.2403,83.57709987463443,0.451764,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309459970.0,False,0.759656652360515,0.6608695652173913,0.0,58.30285501026311,0.2383,0.2403,0.2393,0.0020000000000000018,0.474217,0.451764,49,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,1774222200.0,1774309500.0,292,4,0.9863013698630136,0.0,40.03747419455676,41.98906454411503,0.14455874390904205,-0.06603573909256268,34.701938,0,,,,,,,0.47904837873787115,0.3375,0.4625,0.4,0.6625,0.0,0.9924657534246575,1.0,1.0,0.0,0.6666666666666666,45.641324200913246,"['quote_volume_24h<100000', 'top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",quote_volume_24h<100000; top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,SAL/USDT,SAL-USDT,SAL,USDT,True,active,0.018928,43926.9402,2194059.1033,0.01891,0.019072,85.3035648465057,0.8013158016,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774309451357.0,False,0.8025751072961373,0.4521739130434783,0.0,55.44597872737451,0.01891,0.019072,0.018991,0.00016199999999999895,0.807443763,0.8013158016,74,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,1774216500.0,1774309500.0,311,23,0.9260450160771704,0.0,53.71435416725074,58.694191446805625,0.044114677972945625,-0.13809218195884612,120.59646332449998,0,,,,,,,0.6296847530804107,0.425,0.4625,0.26249999999999996,0.7375,0.0,0.9593247588424438,1.0,0.8822935594589124,0.0,0.6274311864863041,45.417559453287474,"['quote_volume_24h<100000', 'top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40', 'coverage_ratio<0.95']",quote_volume_24h<100000; top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40; coverage_ratio<0.95,False
nonkyc,NEXA/USDT,NEXA-USDT,NEXA,USDT,True,active,4.841e-07,7054.7827,14465325933.8744,4.839e-07,4.851e-07,24.767801857584814,0.19518006889185002,1e-10,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774309353761.0,False,0.630901287553648,0.9260869565217391,0.0,57.851744728494126,4.839e-07,4.851e-07,4.845e-07,1.1999999999999843e-09,0.19518006889185002,23.70547266139206,110,200,0.0,0.0,0.0,0.0,0.0,0.0,0.19518006889185002,23.70547266139206,0.19518006889185002,288,1774216200.0,1774309500.0,312,24,0.9230769230769231,0.0,37.350219943452736,30.81319934195376,0.019463087248322068,-0.42612393948066823,16.4517885308924,0,,,,,,,1.508015130216924,0.125,0.4625,0.8875,0.475,0.0,0.9576923076923078,1.0,0.38926174496644134,0.254007565108462,0.5477564366916344,45.30448744383942,"['quote_volume_24h<100000', 'top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40', 'coverage_ratio<0.95']",quote_volume_24h<100000; top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40; coverage_ratio<0.95,False
nonkyc,BONK/USDT,BONK-USDT,BONK,USDT,True,active,5.97e-06,9239.9294,1562068875.0,5.96e-06,5.99e-06,50.209205020921445,0.18191111999999998,1e-08,1.0,,,market.getlist.priceDecimals/quantityDecimals,1774309395680.0,False,0.6566523605150214,0.8739130434782609,0.0,57.9637059152827,5.96e-06,5.99e-06,5.9749999999999995e-06,3.000000000000056e-08,0.18191111999999998,2790.35722669,48,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,1774217700.0,1774309200.0,306,18,0.9411764705882353,0.0,20.81105809673149,33.55369558345304,0.10596026490066206,0.036013629212938617,10.926355430000001,0,,,,,,,0.4144869070932277,0.15,0.4625,0.775,0.45,0.0,0.9676470588235295,1.0,1.0,0.0,0.6666666666666666,45.19313725490196,"['quote_volume_24h<100000', 'top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40', 'coverage_ratio<0.95']",quote_volume_24h<100000; top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40; coverage_ratio<0.95,False
nonkyc,SAND/USDT,SAND-USDT,SAND,USDT,True,active,0.0808,47615.988,598435.58,0.0807,0.0813,74.07407407407449,0.07642199999999999,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309485366.0,False,0.8068669527896996,0.7478260869565218,0.0,63.073334577346515,0.0807,0.0813,0.08099999999999999,0.0006000000000000033,0.107331,0.07642199999999999,57,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,1774220700.0,1774309200.0,296,8,0.972972972972973,0.0,28.108348755162535,27.428076897720718,0.1021505376344086,-0.07559381699937424,34.2684195,0,,,,,,,0.3794627081946921,0.4375,0.4625,0.5,0.0875,0.0,0.9851351351351352,1.0,1.0,0.0,0.6666666666666666,44.96801801801802,"['quote_volume_24h<100000', 'top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",quote_volume_24h<100000; top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
