connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,permissions_spot,last_price,quote_volume_24h,volume_base_24h,bid_price,bid_quantity,ask_price,ask_quantity,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,maker_fee_estimate,taker_fee_estimate,rule_estimate_source,raw_trade_side_type,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score
mexc,ZECUSDT,ZEC-USDT,ZEC,USDT,True,1,True,230.55,17642988.39,78123.354778,230.65,0.72,230.67,0.9504,0.8670770831519037,166.068,0.01,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9935579781962339,0.9950445986124876,0.9217046580773043,97.95589692765114
mexc,UNIUSDT,UNI-USDT,UNI,USDT,True,1,True,3.567,6596871.21,1847015.06,3.568,158.54,3.569,548.11,2.8022978842647883,565.67072,0.001,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9851337958374629,0.9633300297324083,0.977205153617443,97.80971258671953
mexc,TRUMPUSDT,TRUMP-USDT,TRUMP,USDT,True,1,True,3.275,3767661.271,1158084.13,3.273,219.16,3.274,460.09,3.054834275240231,717.31068,0.001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9786917740336968,0.958374628344896,0.9796828543111992,97.38107036669972
mexc,WLDUSDT,WLD-USDT,WLD,USDT,True,1,True,0.3205,5835241.2292,18389437.08,0.3207,9401.2,0.3208,1285.6,3.117692907248293,412.42047999999994,0.0001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9826560951437067,0.956392467789891,0.9682854311199207,97.32160555004955
mexc,AAVEUSDT,AAVE-USDT,AAVE,USDT,True,1,True,109.64,6787662.77,62000.8,109.67,0.982,109.68,2.271,0.9117848187832336,107.69594,0.01,0.0001,0.0001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9861248761149654,0.9935579781962339,0.8805748265609514,96.68731417244797
mexc,ICPUSDT,ICP-USDT,ICP,USDT,True,1,True,2.399,2803983.425,1170188.88,2.398,302.53,2.399,232.78,4.169272461954929,558.43922,0.001,0.0001,0.0001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9747274529236868,0.9365708622398414,0.9767096134786918,96.55847373637265
mexc,TAOUSDT,TAO-USDT,TAO,USDT,True,1,True,296.89,21538344.74,76327.27,296.98,0.752,297.14,15.234,5.3861172827027595,223.32896000000002,0.01,0.01,0.01,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9945490584737364,0.9127849355797819,0.9469772051536175,96.4593657086224
mexc,AVAXUSDT,AVAX-USDT,AVAX,USDT,True,1,True,9.527,14212179.99,1511065.2,9.531,10.19,9.532,41.89,1.049152809106065,97.12089,0.001,0.0001,0.0001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9915758176412289,0.9866204162537165,0.8627353815659068,96.45688800792864
mexc,XLMUSDT,XLM-USDT,XLM,USDT,True,1,True,0.1654,5453839.515,33604354.66,0.1653,53843.74,0.1654,13111.2,6.047777441789477,2168.59248,0.0001,0.1,0.1,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.981169474727453,0.9033696729435085,0.9890981169474727,96.33052527254708
mexc,WBTCUSDT,WBTC-USDT,WBTC,USDT,True,1,True,70498.44,1929659.07,27.56761153,70525.11,0.00664,70545.91,0.00490385,2.948869300016815,345.9465607535,0.01,1e-05,1e-05,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9638255698711595,0.9598612487611496,0.964816650148662,96.30327056491575
