connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,last_price,quote_volume_24h,volume_base_24h,bid_price,ask_price,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,rule_estimate_source,last_trade_at_ms,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score,best_bid,best_ask,mid_price,spread_abs,bid_top_quote,ask_top_quote,orderbook_levels_bid,orderbook_levels_ask,bid_depth_quote_5bps,ask_depth_quote_5bps,sym_depth_quote_5bps,bid_depth_quote_10bps,ask_depth_quote_10bps,sym_depth_quote_10bps,bid_depth_quote_25bps,ask_depth_quote_25bps,sym_depth_quote_25bps,n_candles,candle_first_ts,candle_last_ts,candle_expected,candle_missing,coverage_ratio,zero_volume_fraction,natr_bps_mean,realized_vol_bps,efficiency_ratio,lag1_return_autocorr,median_quote_volume_per_bar,recent_trade_count,trades_per_minute,trade_quote_volume,trade_quote_volume_per_minute,last_trade_age_sec,median_trade_quote,buy_trade_fraction,vol_to_spread_ratio,volume_rank,depth_rank,spread_rank,top_rank,activity_rank,quality_rank,alpha_natr_score,alpha_efficiency_score,alpha_edge_score,alpha_rank,screen_score,rejection_reasons,rejection_reason,passed_filters
nonkyc,USDC/USDT,USDC-USDT,USDC,USDT,True,active,0.9983,2381417.7071,2381306.71,0.9977,0.9988,11.01928374655637,0.769076,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774313071901.0,False,0.9742489270386266,0.9608695652173913,0.0,77.60543011755925,0.9977,0.9988,0.9982500000000001,0.0010999999999999899,64.271834,0.769076,58,54,0.0,0.0,0.0,54659.682791,0.769076,0.769076,539727.856703,0.769076,0.769076,288,1774229100.0,1774315500.0,289,1,0.9965397923875432,0.0,15.04651182927278,13.015544556590283,0.009659379766141566,-0.5559625458849218,3611.9692274999998,200,3.7244861062657315,32090.844353,597.609519655423,22.973385095596313,131.01689199999998,0.52,1.3654709485065177,0.925,0.975,0.9625,0.75,0.7012499999999999,0.9980968858131487,0.5872093191060651,0.1931875953228313,0.18273547425325887,0.3210441295607184,84.70641015373866,"['top_of_book_quote<75', 'depth_10bps<250']",top_of_book_quote<75; depth_10bps<250,False
nonkyc,XRP/USDT,XRP-USDT,XRP,USDT,True,active,1.4236,3455137.2535,2439889.7,1.4235,1.4262,18.94936309085114,0.156585,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774315814855.0,False,0.9914163090128756,0.9391304347826087,0.0,78.00615786527338,1.4235,1.4262,1.42485,0.0026999999999999247,0.156585,2026.4020079999998,85,99,0.0,0.0,0.0,0.156585,2026.4020079999998,0.156585,0.156585,2027.9007779999997,0.156585,288,1774229400.0,1774315500.0,288,0,1.0,0.0,30.44069079285057,28.320030913592305,0.05333905333905316,-0.042434028296152414,6152.455706500001,200,3.3894417759834994,87992.93964,1491.2347280370523,4.674148797988892,365.573362,0.535,1.6064228991183092,0.975,0.9125,0.925,0.1625,0.624375,1.0,1.0,1.0,0.3032114495591546,0.7677371498530515,82.91987149853051,"['top_of_book_quote<75', 'depth_10bps<250']",top_of_book_quote<75; depth_10bps<250,False
nonkyc,TRX/USDT,TRX-USDT,TRX,USDT,True,active,0.3081,425264.6684,1382727.26,0.3084,0.309,19.43634596695787,0.16995000000000002,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774315819423.0,False,0.9527896995708155,0.9347826086956522,0.0,75.77299869378616,0.3084,0.309,0.3087,0.0005999999999999894,593.725512,0.16995000000000002,53,61,0.0,0.0,0.0,593.725512,0.16995000000000002,0.16995000000000002,8630.480663000002,0.16995000000000002,0.16995000000000002,288,1774227600.0,1774315500.0,294,6,0.9795918367346939,0.0,16.878081830931755,15.659608017492276,0.029484029484029454,-0.1981592513714769,748.179902,200,3.7041026949863487,12878.368375,238.51399502432233,0.11875104904174805,37.158797,0.515,0.8683773102014541,0.8625,0.9375,0.9125,0.25,0.9143749999999999,0.9887755102040816,0.7398401525776462,0.589680589680589,0.0,0.4431735807527451,81.34199090956827,"['top_of_book_quote<75', 'depth_10bps<250']",top_of_book_quote<75; depth_10bps<250,False
nonkyc,NKYC/USDT,NKYC-USDT,NKYC,USDT,True,active,7.484608,164140.8552,21879.3518,7.477184,7.492093,19.91946571634608,35.3791615646,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774315806984.0,False,0.9098712446351931,0.9304347826086956,0.0,73.30378802015302,7.477184,7.492093,7.4846385,0.014908999999999395,76.5013126592,35.3791615646,123,200,0.0,0.0,0.0,76.5013126592,35.3791615646,35.3791615646,136.00316032220002,114.8514396728,114.8514396728,288,1774229700.0,1774315800.0,288,0,1.0,0.0,21.993105789740632,26.723873207307683,0.025584994100768838,-0.18846326664837756,586.1819638280001,200,1.9496262079080375,8861.912247268,86.38708184727452,14.820979833602905,42.092827271800004,0.475,1.1041011894055424,0.7375,1.0,0.9,0.9,0.37312500000000004,1.0,1.0,0.5116998820153768,0.05205059470277118,0.5212501589060493,78.99000158906048,"['top_of_book_quote<75', 'depth_10bps<250']",top_of_book_quote<75; depth_10bps<250,False
nonkyc,XMR/USDT,XMR-USDT,XMR,USDT,True,active,354.41,2546035.8102,7160.709,353.38,354.48,31.079592009720077,1.41792,0.01,0.001,,,market.getlist.priceDecimals/quantityDecimals,1774315827463.0,False,0.9785407725321889,0.8782608695652174,0.0,75.77626422840082,353.38,354.48,353.93,1.1000000000000227,98.94640000000001,1.41792,168,179,0.0,0.0,0.0,0.0,0.0,0.0,98.94640000000001,1.41792,1.41792,288,1774229700.0,1774315800.0,288,0,1.0,0.0,50.262296003371816,34.62539169293217,0.01916607994993341,-0.2662894058350875,2837.5702899999997,200,6.630643851933921,115395.40308,3825.7290998691933,2.7879230976104736,187.435785,0.495,1.6172122204066381,0.9375,0.45625,0.75,0.7875,0.95625,1.0,1.0,0.38332159899866813,0.3086061102033191,0.563975903067329,77.03975903067328,"['top_of_book_quote<75', 'depth_10bps<250']",top_of_book_quote<75; depth_10bps<250,False
nonkyc,DOGE/USDT,DOGE-USDT,DOGE,USDT,True,active,0.09303,401736.0306,4305085.26,0.09306,0.09328,22.538234504963974,0.195888,1e-05,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774315830580.0,False,0.944206008583691,0.9173913043478261,0.0,74.86611308079867,0.09307,0.09328,0.09317500000000001,0.00021000000000000185,3429.5057168999997,0.195888,54,165,0.0,0.0,0.0,0.0,0.0,0.0,7608.3575721,0.195888,0.195888,288,1774228500.0,1774315500.0,291,3,0.9896907216494846,0.0,34.578802062835216,36.46358592365266,0.04521276595744671,-0.09631769005870625,451.7557122,200,3.64320513403421,11598.1906522,211.27293864801314,3.7218799591064453,35.1026734,0.48,1.5342285153355444,0.8375,0.45625,0.8625,0.45,0.8006249999999999,0.9943298969072165,1.0,0.9042553191489341,0.2671142576677722,0.7237898589389021,73.4136975584612,"['top_of_book_quote<75', 'depth_10bps<250']",top_of_book_quote<75; depth_10bps<250,False
nonkyc,BTC/USDT,BTC-USDT,BTC,USDT,True,active,70850.14,16181021.601,231.371,70582.27,71127.56,73.56220607579745,13444.116971,0.01,1e-06,,,market.getlist.priceDecimals/quantityDecimals,1774315830659.0,False,1.0,0.6956521739130435,0.0,72.3913043478261,70591.0,71112.2,70851.6,521.1999999999971,14026.714064,13444.116971,107,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,1774229100.0,1774315500.0,289,1,0.9965397923875432,0.0,26.270371425338322,32.83484319448372,0.06843450769207425,-0.20293584772498807,26806.608125000002,200,3.6234597275585103,422626.8919741,7656.857614256862,3.798093795776367,1366.54186796,0.435,0.35711777591702054,1.0,0.45625,0.38749999999999996,1.0,0.7718750000000001,0.9980968858131487,1.0,1.0,0.0,0.6666666666666666,73.23513552479815,['depth_10bps<250'],depth_10bps<250,False
nonkyc,SOL/USDT,SOL-USDT,SOL,USDT,True,active,90.93,3059505.4166,34103.95,90.62,91.33,67.058758863299,72.528,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774315813523.0,False,0.9828326180257511,0.682608695652174,0.0,71.12101138272067,90.66,91.27,90.965,0.6099999999999994,72.528,1542.4629999999997,71,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,1774229100.0,1774315500.0,289,1,0.9965397923875432,0.0,31.448511532248794,39.4452059179319,0.08397232092762268,-0.054759803475862616,4392.49425,200,3.80039080664803,50255.439099999996,954.9515436984996,16.259305000305176,191.5125,0.515,0.46896948385754333,0.95,0.45625,0.475,0.9125,0.7531249999999999,0.9980968858131487,1.0,1.0,0.0,0.6666666666666666,72.51013552479814,"['top_of_book_quote<75', 'depth_10bps<250']",top_of_book_quote<75; depth_10bps<250,False
nonkyc,LINK/USDT,LINK-USDT,LINK,USDT,True,active,9.1,2152965.2885,238732.83,9.09,9.12,32.9489291598016,0.7272,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774315825686.0,False,0.9699570815450643,0.8652173913043478,0.0,74.97807426758723,9.09,9.12,9.105,0.02999999999999936,0.7272,489.65279999999996,53,93,0.0,0.0,0.0,0.0,0.0,0.0,0.7272,489.65279999999996,0.7272,288,1774226100.0,1774315500.0,299,11,0.9632107023411371,0.0,22.905191458370197,33.61182957630923,0.10941475826971975,0.06800447511473529,2971.87515,200,2.777398457210331,80396.3355,1116.463290915321,5.252096891403198,272.9545,0.525,0.6951725607615503,0.9125,0.45625,0.7375,0.7375,0.549375,0.9797658862876255,1.0,1.0,0.0,0.6666666666666666,71.78182552954291,"['top_of_book_quote<75', 'depth_10bps<250']",top_of_book_quote<75; depth_10bps<250,False
nonkyc,HACD/USDT,HACD-USDT,HACD,USDT,True,active,4.6674,27984.8918,5578.9013,4.6662,4.6681,4.0710069314249875,0.197585781761,0.0001,1e-08,,,market.getlist.priceDecimals/quantityDecimals,1774315319326.0,False,0.7639484978540773,0.9826086956521739,0.0,66.5823847732786,4.6662,4.6681,4.6671499999999995,0.0019000000000000128,1.928000020716,0.197585781761,70,124,1.928000020716,0.197585781761,0.197585781761,1.928000020716,0.197585781761,0.197585781761,1.928000020716,0.197585781761,0.197585781761,288,1774227900.0,1774315500.0,293,5,0.9829351535836177,0.0,51.5987275770786,81.44386114652372,0.07569574985099266,-0.08673020575018386,64.29634684999999,200,2.212663515903078,1849.9779765968,20.46689387019969,93.63660216331482,9.1184741814,0.475,12.674684284808459,0.35,0.95,0.9875,0.4625,0.270625,0.9906143344709899,1.0,1.0,1.0,1.0,70.0536433447099,"['quote_volume_24h<100000', 'top_of_book_quote<75', 'depth_10bps<250']",quote_volume_24h<100000; top_of_book_quote<75; depth_10bps<250,False
