connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,permissions_spot,last_price,quote_volume_24h,volume_base_24h,bid_price,bid_quantity,ask_price,ask_quantity,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,maker_fee_estimate,taker_fee_estimate,rule_estimate_source,raw_trade_side_type,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score,best_bid,best_ask,mid_price,spread_abs,bid_top_quote,ask_top_quote,orderbook_levels_bid,orderbook_levels_ask,bid_depth_quote_5bps,ask_depth_quote_5bps,sym_depth_quote_5bps,bid_depth_quote_10bps,ask_depth_quote_10bps,sym_depth_quote_10bps,bid_depth_quote_25bps,ask_depth_quote_25bps,sym_depth_quote_25bps,bid_depth_quote_50bps,ask_depth_quote_50bps,sym_depth_quote_50bps,bid_depth_quote_100bps,ask_depth_quote_100bps,sym_depth_quote_100bps,bid_depth_quote_1xspread,ask_depth_quote_1xspread,sym_depth_quote_1xspread,bid_depth_quote_2xspread,ask_depth_quote_2xspread,sym_depth_quote_2xspread,n_candles,candle_first_ts,candle_last_ts,candle_expected,candle_missing,coverage_ratio,zero_volume_fraction,natr_bps_mean,realized_vol_bps,efficiency_ratio,lag1_return_autocorr,median_quote_volume_per_bar,recent_trade_count,trades_per_minute,trade_quote_volume,trade_quote_volume_per_minute,last_trade_age_sec,median_trade_quote,buy_trade_fraction,vol_to_spread_ratio,volume_rank,depth_rank,spread_rank,top_rank,activity_rank,quality_rank,alpha_natr_score,alpha_efficiency_score,alpha_edge_score,alpha_rank,screen_score,rejection_reasons,rejection_reason,passed_filters
mexc,SOLUSDT,SOL-USDT,SOL,USDT,True,1,True,80.36,37454033.33,468982.871,80.35,9.634,80.36,29.599,1.2444776305152285,405.65728,0.01,0.01,0.01,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9991596638655462,0.9840336134453782,0.9760504201680672,99.07563025210084,80.35,80.36,80.35499999999999,0.010000000000005116,771.1993,405.65728,200,200,160052.13094,81605.45079999999,81605.45079999999,837068.07155,477234.62035,477234.62035,1909097.56018,1159360.80453,1159360.80453,2150420.6388,1401141.58527,1401141.58527,2580609.8159,1630542.38741,1630542.38741,771.1993,405.65728,405.65728,30764.37082,13887.08182,13887.08182,288,1775174100.0,1775260200.0,288,0,1.0,0.0,20.263909433844702,13.446980729694836,0.06043720531504483,-0.03868966284680528,90561.47211500001,500,38.36317135549872,168946.37178,12962.637220971867,3.6684212684631348,144.46391999999997,0.498,16.283064425557576,0.9991467576791809,0.9978668941979523,0.9850682593856656,0.9628839590443686,0.992148053059478,1.0,1.0,1.0,1.0,1.0,99.30680052749872,[],,True
mexc,LTCUSDT,LTC-USDT,LTC,USDT,True,1,True,53.23,3468203.38,65534.45,53.22,75.3661,53.23,74.7351,1.878816345701834,1807.6056319999998,0.01,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9882352941176471,0.9764705882352941,0.9928571428571429,98.6218487394958,53.22,53.23,53.224999999999994,0.00999999999999801,4010.983842,1807.6056319999998,200,200,28396.817366,29424.440816000002,28396.817366,61044.843026,75778.77741,61044.843026,197043.287422,190735.028152,190735.028152,364582.794681,388324.728332,364582.794681,392108.596205,408149.009577,392108.596205,4010.983842,1807.6056319999998,1807.6056319999998,14408.239125999999,15298.706816000002,14408.239125999999,288,1775174100.0,1775260200.0,288,0,1.0,0.0,14.224400195297026,9.292731949660674,0.08732394366197159,-0.0738030206085211,8315.0090475,500,14.058106841611995,30900.234922999996,868.7976079568883,9.673060178756714,15.099025499999998,0.508,7.570937003948347,0.9880546075085325,0.9918941979522184,0.9786689419795221,0.9867747440273038,0.9555840821566111,1.0,0.9138222439218917,1.0,1.0,0.9712740813072972,98.28384536209224,[],,True
mexc,ADAUSDT,ADA-USDT,ADA,USDT,True,1,True,0.246,6024328.0574,24503102.18,0.2461,12543.04,0.2462,122530.21,4.062563477553889,3086.842144,0.0001,0.1,0.1,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9936974789915967,0.9432773109243697,0.9911764705882353,98.05882352941178,0.2461,0.2462,0.24615,9.999999999998899e-05,3086.842144,19464.572,200,200,3086.842144,19464.572,3086.842144,40437.093484000005,51426.721034,40437.093484000005,235522.94820400001,164582.269224,164582.269224,643611.045099,387433.557259,387433.557259,811907.136808,466234.556922,466234.556922,3086.842144,19464.572,3086.842144,40437.093484000005,51426.721034,40437.093484000005,288,1775174100.0,1775260200.0,288,0,1.0,0.0,24.912990274738256,16.878342113824278,0.07947805456702262,-0.12956963028803525,13361.0012795,500,7.849293563579278,145618.747448,2286.0085941601255,4.8859944343566895,39.998633000000005,0.508,6.132332556127498,0.9936006825938567,0.992320819112628,0.9402730375426621,0.9906143344709898,0.9554985023534446,1.0,1.0,1.0,1.0,1.0,98.12809806919698,[],,True
mexc,XRPUSDT,XRP-USDT,XRP,USDT,True,1,True,1.3181,25430983.4575,19292232.37,1.3181,620.51,1.3182,337.94,0.7586390016309902,445.472508,0.0001,0.1,0.1,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9987394957983193,0.9953781512605042,0.9588235294117647,98.99159663865547,1.3181,1.3182,1.3181500000000002,9.999999999998899e-05,753.2941500000001,445.472508,200,200,95133.499967,169379.178367,95133.499967,244450.360435,314970.504704,244450.360435,598896.521965,649522.119679,598896.521965,601244.903764,699126.614583,601244.903764,730553.081048,826893.554196,730553.081048,753.2941500000001,445.472508,445.472508,10127.938189999999,11079.658105,10127.938189999999,288,1775174100.0,1775260200.0,288,0,1.0,0.0,15.87964933452696,10.538731615807773,0.005776418620455405,-0.009198680181617408,66547.177596,500,28.328611898016998,319875.720283,18123.270270991503,5.517033100128174,27.629823000000002,0.496,20.93175977030902,0.9987201365187713,0.9944539249146758,0.9957337883959044,0.965443686006826,0.983065896448438,1.0,1.0,0.1155283724091081,0.9689413409896993,0.6948232377996025,96.25867501251038,[],,True
mexc,WXTUSDT,WXT-USDT,WXT,USDT,True,1,True,0.018726,6063477.243456,325090766.88,0.018726,192345.0,0.01873,102594.0,2.669727954722231,1757.361151,1e-06,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9941176470588236,0.9739495798319328,0.9873949579831933,98.77310924369749,0.018726,0.018731,0.018728500000000002,5.000000000001531e-06,3585.65448,1757.361151,109,200,3617.5789,3643.231415,3617.5789,7920.274726,14820.969092000001,7920.274726,24801.441377,24930.933667,24801.441377,35155.213471,35477.34017004,35155.213471,53408.235959,50620.74704373,50620.74704373,3617.5789,1757.361151,1757.361151,4853.931412,4944.979013,4853.931412,288,1775174100.0,1775260200.0,288,0,1.0,0.0,12.535538621108786,8.87943030365851,0.05534034311012643,-0.03019343487945242,18394.182027000003,500,7.342143906020558,219049.683384,3216.588595947137,18.18860149383545,235.59679450000002,0.51,4.695436701307281,0.9940273037542662,0.9560580204778157,0.9680034129692833,0.985494880546075,0.8788403936670945,1.0,0.7261709579009763,1.0,1.0,0.9087236526336587,95.98315060187755,[],,True
mexc,SHIBUSDT,SHIB-USDT,SHIB,USDT,True,1,True,5.99e-06,1694108.57044473,282667013481.0,5.988e-06,66794689.0,5.991e-06,133980907.0,5.008765339343521,399.966597732,1e-09,10000.0,10000.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9739495798319328,0.9302521008403362,0.954201680672269,95.9075630252101,5.988e-06,5.991e-06,5.9895e-06,2.999999999999802e-09,399.966597732,802.679613837,200,200,399.966597732,1173.969963085,399.966597732,1244.813172184,24721.499253957,1244.813172184,20670.882737713,87182.694926523,20670.882737713,198278.826668385,127383.074658443,127383.074658443,246856.399988251,203484.423416873,203484.423416873,399.966597732,1173.969963085,399.966597732,1244.813172184,24721.499253957,1244.813172184,288,1775174100.0,1775260200.0,288,0,1.0,0.0,22.29565331962847,15.522610517868502,0.06274900398406402,-0.06166770129683037,4234.586006822001,500,3.1269543464665417,119536.527794051,747.5705302942526,14.819644451141357,16.2530639055,0.516,4.451327185264119,0.9735494880546075,0.9833617747440273,0.9227815699658704,0.9620307167235495,0.7926829268292682,1.0,1.0,1.0,1.0,1.0,95.00536918338467,[],,True
mexc,BNBUSDT,BNB-USDT,BNB,USDT,True,1,True,588.48,9344605.23,15941.5465,588.54,29.9992,588.55,10.821,0.16991054209943007,7592.636832,0.01,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9966386554621849,0.9974789915966387,0.9941176470588236,99.6344537815126,588.54,588.55,588.545,0.009999999999990905,7592.636832,10895.355309999999,200,200,70134.430382,72958.317304,70134.430382,93442.001713,98991.850438,93442.001713,135407.301091,127383.277088,127383.277088,149188.983663,128338.941339,128338.941339,158891.161955,142923.202352,142923.202352,7592.636832,10895.355309999999,7592.636832,7610.05732,15283.187821999998,7610.05732,288,1775174100.0,1775260200.0,288,0,1.0,0.0,11.995243036419511,8.937974721041238,0.04843677088194035,-0.040477907133317545,25681.090715000002,500,23.219814241486066,64892.895387,3013.601952956656,9.0622079372406,20.4815195,0.498,70.59740312875941,0.9965870307167235,0.9837883959044369,0.9978668941979523,0.9944539249146758,0.9670731707317073,1.0,0.6661381151577235,0.968735417638807,0.0,0.5449578442655102,94.56981485321033,[],,True
mexc,PENGUUSDT,PENGU-USDT,PENGU,USDT,True,1,True,0.006285,1288559.022029,202495831.15,0.006284,73194.4,0.006285,76845.6,1.5912164850029957,459.95360959999994,1e-06,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9651260504201681,0.9785714285714285,0.9609243697478992,96.76470588235296,0.006284,0.006285,0.0062845,1.0000000000001327e-06,459.95360959999994,683.6822999999999,114,200,2008.7783984,2178.6077928,2008.7783984,9034.15404473,7637.010956689999,7637.010956689999,17042.43563218,12931.823973449998,12931.823973449998,21445.059269449997,19733.010319189998,19733.010319189998,31126.04631124,25310.02806629,25310.02806629,459.95360959999994,683.6822999999999,459.95360959999994,1408.4956064,1141.3735032,1141.3735032,288,1775174100.0,1775260200.0,288,0,1.0,0.0,26.45259822226379,18.52851782682075,0.02393095331502524,0.004368715278951137,3203.913366545,500,6.778129236330773,43891.22515814,595.000792925531,23.05402445793152,17.610198095,0.512,16.624135352779476,0.9645904436860068,0.9449658703071673,0.981655290102389,0.966296928327645,0.8424689773213522,1.0,1.0,0.47861906630050477,1.0,0.8262063554335016,93.85803940505814,[],,True
mexc,UNIUSDT,UNI-USDT,UNI,USDT,True,1,True,3.168,3024302.835,945827.13,3.167,697.44,3.168,353.24,3.1570639305456476,1119.0643200000002,0.001,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9878151260504202,0.9605042016806723,0.9823529411764705,97.98949579831935,3.167,3.168,3.1675,0.001000000000000334,2208.79248,1119.0643200000002,153,200,9454.31012,10059.89078,9454.31012,16956.30962,15165.65128,15165.65128,70844.62337,65364.49028,65364.49028,156324.29278000002,100771.138,100771.138,187852.31217,111343.13796000001,111343.13796000001,2208.79248,1119.0643200000002,1119.0643200000002,9454.31012,10059.89078,9454.31012,288,1775174100.0,1775260200.0,288,0,1.0,0.0,25.6521735402185,16.613187601889617,0.00701754385964912,-0.00956624466537332,7363.7395,500,5.518763796909493,166001.28206,1832.2437313465784,22.75132441520691,35.261849999999995,0.502,8.125325968861496,0.9876279863481229,0.9786689419795221,0.9586177474402731,0.9812286689419796,0.8266367137355584,1.0,1.0,0.1403508771929824,1.0,0.7134502923976608,93.51830731132891,[],,True
mexc,WLDUSDT,WLD-USDT,WLD,USDT,True,1,True,0.2662,1496992.067,5566006.39,0.2661,10187.44,0.2662,12579.52,3.7558685446005255,2166.233328,0.0001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9697478991596639,0.9483193277310924,0.9903361344537815,96.85084033613445,0.2662,0.2663,0.26625,9.999999999998899e-05,2553.007072,2166.233328,157,200,2553.007072,2166.233328,2166.233328,16001.774081,18258.425093,16001.774081,71029.166899,83028.482202,71029.166899,121570.379511,146701.941327,121570.379511,176057.345948,209379.675575,176057.345948,2553.007072,2166.233328,2166.233328,8912.448481,9855.922608,8912.448481,288,1775174100.0,1775260200.0,288,0,1.0,0.0,28.148770041601,18.45663010048712,0.014492753623188697,-0.10652102135160622,3346.6476439999997,500,7.974481658692184,103787.213032,1655.298453460925,35.24079632759094,68.293437,0.506,7.494610023577091,0.9692832764505119,0.981655290102389,0.9475255972696246,0.9872013651877133,0.783354728284125,1.0,1.0,0.28985507246377396,1.0,0.7632850241545913,92.98703189563118,[],,True
