connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,permissions_spot,last_price,quote_volume_24h,volume_base_24h,bid_price,bid_quantity,ask_price,ask_quantity,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,maker_fee_estimate,taker_fee_estimate,rule_estimate_source,raw_trade_side_type,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score
mexc,BTCUSDT,BTC-USDT,BTC,USDT,True,1,True,66879.05,223997362.07,3354.87867962,66879.05,1.19200348,66879.06,0.14223677,0.0014952364375904104,9512.6614750362,0.01,1e-06,1e-06,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,1.0,0.9991596638655462,0.9966386554621849,99.91176470588236
mexc,USDCUSDT,USDC-USDT,USDC,USDT,True,1,True,1.0,20150113.7057,20149891.71,1.0,3933053.25,1.0001,4263319.41,0.999950002499765,3933053.25,0.0001,1.0,1.0,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9983193277310924,0.9932773109243698,1.0,99.73949579831934
mexc,ETHUSDT,ETH-USDT,ETH,USDT,True,1,True,2051.89,105455473.19,51295.58279,2051.99,1.29567,2052.0,10.96245,0.048733062216127616,2658.7018832999997,0.01,0.0001,0.0001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9995798319327731,0.9983193277310924,0.9899159663865547,99.73319327731093
mexc,USD1USDT,USD1-USDT,USD1,USDT,True,1,True,1.0,17484720.2036,17484364.99,1.0,14129.38,1.0001,42637.35,0.999950002499765,14129.38,0.0001,0.0,0.0,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9978991596638656,0.9932773109243698,0.9974789915966387,99.66596638655463
mexc,GOLD(XAUT)USDT,GOLD(XAUT)-USDT,GOLD(XAUT),USDT,True,1,True,4629.7,7710186.3,1663.06662,4629.6,0.16333,4629.7,1.21983,0.21599904960300303,756.1525680000001,0.1,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9953781512605042,0.9974789915966387,0.9743697478991596,99.1701680672269
mexc,EURUSDT,EUR-USDT,EUR,USDT,True,1,True,1.1517,2464963.3385,2137281.55,1.1517,13828.57,1.1518,43544.48,0.8682439765573171,15926.364069,0.0001,0.0,0.0,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9823529411764705,0.9953781512605042,0.9983193277310924,98.88025210084034
mexc,SOLUSDT,SOL-USDT,SOL,USDT,True,1,True,80.11,37069375.36,464358.95,80.06,211.044,80.07,6.413,1.2489851995242498,513.48891,0.01,0.01,0.01,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9991596638655462,0.9840336134453782,0.9609243697478992,98.77310924369749
mexc,USDEUSDT,USDE-USDT,USDE,USDT,True,1,True,0.9996,2151418.8298,2152199.07,0.9996,715681.8,0.9997,114588.93,1.0003501225427798,114554.553321,0.0001,0.0,0.0,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9810924369747899,0.9920168067226891,0.9987394957983193,98.73529411764706
mexc,LTCUSDT,LTC-USDT,LTC,USDT,True,1,True,53.23,3497745.39,66118.2897,53.22,108.9048,53.23,54.6248,1.878816345701834,2907.678104,0.01,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.988655462184874,0.9764705882352941,0.9907563025210084,98.60294117647061
mexc,TRXUSDT,TRX-USDT,TRX,USDT,True,1,True,0.3153,5267453.285,16757039.75,0.3152,250513.99,0.3153,40623.83,3.1720856463138616,12808.693599000002,0.0001,1.0,1.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9932773109243698,0.9600840336134454,0.9970588235294118,98.57352941176471
