connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,last_price,quote_volume_24h,volume_base_24h,bid_price,ask_price,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,rule_estimate_source,last_trade_at_ms,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score
nonkyc,NKYC/USDT,NKYC-USDT,NKYC,USDT,True,active,7.507152,168514.0748,22329.9461,7.506762,7.514659,10.514318186008929,,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774482630149.0,False,0.9478260869565217,0.9766081871345029,0.0,76.54563946097129
nonkyc,SUN/USDT,SUN-USDT,SUN,USDT,True,active,0.01788,145811.2256,8217983.06,0.017879,0.017899,11.180054782269915,,1e-06,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774482479834.0,False,0.9420289855072463,0.9707602339181287,0.0,76.08060005085177
nonkyc,ARRR/USDT,ARRR-USDT,ARRR,USDT,True,active,0.213212,281491.9574,1291033.9758,0.212775,0.213302,24.73731273924665,,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774482609629.0,False,0.9565217391304348,0.9239766081871346,0.0,75.70811085685229
nonkyc,LTC/USDT,LTC-USDT,LTC,USDT,True,active,56.27,815332.6289,14467.7113,56.19,56.42,40.84894769558724,,0.01,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774482604086.0,False,0.9768115942028985,0.868421052631579,0.0,75.4351639969489
nonkyc,XRP/USDT,XRP-USDT,XRP,USDT,True,active,1.4135,2103925.2873,1484809.34,1.4062,1.4139,54.607992624375306,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774482648766.0,False,0.9942028985507246,0.8157894736842105,0.0,75.07589626239512
nonkyc,BTC/USDC,BTC-USDC,BTC,USDC,True,active,71212.71,707534.7472,9.9575,70952.64,71260.61,43.31101356589504,,0.01,1e-06,,,market.getlist.priceDecimals/quantityDecimals,1774482573616.0,False,0.9739130434782609,0.8567251461988304,0.0,74.98334604627512
nonkyc,USDC/USDT,USDC-USDT,USDC,USDT,True,active,1.0,1683752.4651,1684418.97,0.9975,1.0027,51.99480051994672,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774482442602.0,False,0.9855072463768116,0.8245614035087719,0.0,74.81693363844394
nonkyc,SOL/USDT,SOL-USDT,SOL,USDT,True,active,91.63,2026641.4203,22013.29,91.21,91.77,61.20887528691685,,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774482641168.0,False,0.991304347826087,0.7953216374269005,0.0,74.4047800661073
nonkyc,LINK/USDT,LINK-USDT,LINK,USDT,True,active,9.32,1074873.1961,115213.82,9.28,9.33,53.734551316497274,,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774482626427.0,False,0.9797101449275363,0.8187134502923976,0.0,74.35189422832444
nonkyc,ETH/USDT,ETH-USDT,ETH,USDT,True,active,2166.0,7457522.9532,3432.6951,2160.11,2174.34,65.66000299922719,,0.01,1e-05,,,market.getlist.priceDecimals/quantityDecimals,1774482636584.0,False,0.9971014492753624,0.7514619883040936,0.0,73.62712941774727
nonkyc,TRX/USDT,TRX-USDT,TRX,USDT,True,active,0.3153,271500.512,873688.48,0.3142,0.3158,50.79365079365225,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774482612096.0,False,0.9536231884057971,0.8304093567251463,0.0,73.2095092804475
nonkyc,BTC/USDT,BTC-USDT,BTC,USDT,True,active,71244.86,12847820.681,180.6517,70974.81,71500.0,73.72390951074121,,0.01,1e-06,,,market.getlist.priceDecimals/quantityDecimals,1774482629545.0,False,1.0,0.7192982456140351,0.0,72.98245614035088
nonkyc,BC2/USDT,BC2-USDT,BC2,USDT,True,active,0.908989,81855.3042,88687.1747,0.907136,0.910212,33.851524309047775,,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774482559886.0,False,0.9130434782608695,0.8976608187134503,0.0,72.65891177218408
