connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,permissions_spot,last_price,quote_volume_24h,volume_base_24h,bid_price,bid_quantity,ask_price,ask_quantity,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,maker_fee_estimate,taker_fee_estimate,rule_estimate_source,raw_trade_side_type,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score,best_bid,best_ask,mid_price,spread_abs,bid_top_quote,ask_top_quote,orderbook_levels_bid,orderbook_levels_ask,bid_depth_quote_5bps,ask_depth_quote_5bps,sym_depth_quote_5bps,bid_depth_quote_10bps,ask_depth_quote_10bps,sym_depth_quote_10bps,bid_depth_quote_25bps,ask_depth_quote_25bps,sym_depth_quote_25bps,bid_depth_quote_50bps,ask_depth_quote_50bps,sym_depth_quote_50bps,bid_depth_quote_100bps,ask_depth_quote_100bps,sym_depth_quote_100bps,bid_depth_quote_1xspread,ask_depth_quote_1xspread,sym_depth_quote_1xspread,bid_depth_quote_2xspread,ask_depth_quote_2xspread,sym_depth_quote_2xspread,n_candles,candle_first_ts,candle_last_ts,candle_expected,candle_missing,coverage_ratio,zero_volume_fraction,natr_bps_mean,realized_vol_bps,efficiency_ratio,lag1_return_autocorr,median_quote_volume_per_bar,recent_trade_count,trades_per_minute,trade_quote_volume,trade_quote_volume_per_minute,last_trade_age_sec,median_trade_quote,buy_trade_fraction,strategy_side_mode,strategy_sample_days,strategy_time_limit_bars,strategy_current_signal,strategy_current_bbp,strategy_current_macd,strategy_current_macdh,strategy_last_signal_ts,strategy_last_signal_side,strategy_bars_since_last_signal,strategy_recommended_side,strategy_signal_count,strategy_events_per_day,strategy_hit_rate,strategy_take_profit_rate,strategy_stop_loss_rate,strategy_time_limit_rate,strategy_ambiguous_rate,strategy_mean_barrier_return_bps,strategy_mean_barrier_return_net_bps,strategy_mean_forward_return_bps,strategy_profit_factor_proxy,strategy_edge_to_spread_ratio,strategy_best_excursion_bps,strategy_worst_excursion_bps,long_signal_count,long_events_per_day,long_hit_rate,long_take_profit_rate,long_stop_loss_rate,long_time_limit_rate,long_ambiguous_rate,long_mean_barrier_return_bps,long_mean_barrier_return_net_bps,long_mean_forward_return_bps,long_profit_factor_proxy,long_edge_to_spread_ratio,long_best_excursion_bps,long_worst_excursion_bps,short_signal_count,short_events_per_day,short_hit_rate,short_take_profit_rate,short_stop_loss_rate,short_time_limit_rate,short_ambiguous_rate,short_mean_barrier_return_bps,short_mean_barrier_return_net_bps,short_mean_forward_return_bps,short_profit_factor_proxy,short_edge_to_spread_ratio,short_best_excursion_bps,short_worst_excursion_bps,screen_error,passed_filters,rejection_reason,rejection_reasons,vol_to_spread_ratio,volume_rank,depth_rank,spread_rank,top_rank,activity_rank,quality_rank,alpha_natr_score,alpha_efficiency_score,alpha_edge_score,alpha_rank,screen_score,microstructure_screen_score,microstructure_passed_filters,microstructure_rejection_reasons,microstructure_rejection_reason,strategy_event_rank,strategy_activity_rank,strategy_hit_rank,strategy_edge_rank,strategy_pf_rank,strategy_ambiguity_rank,strategy_rank,strategy_score
mexc,DOTUSDT,DOT-USDT,DOT,USDT,True,1,True,1.271,2197373.836,1741908.29,1.27,5447.0,1.271,839.49,7.8647267007480295,2830.14912,0.001,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.980956411341515,0.896595744680851,0.9787234042553191,95.941964325911,1.271,1.272,1.2715,0.001000000000000112,11358.355049999998,2830.14912,185.0,200.0,11358.355049999998,2830.14912,2830.14912,11358.355049999998,2830.14912,2830.14912,66049.23218,51119.93365,51119.93365,184866.11096000002,154138.12274,154138.12274,303123.57591,227079.58155,227079.58155,11358.355049999998,2830.14912,2830.14912,42121.006250000006,25325.37031,25325.37031,480.0,1774694700.0,1774838400.0,480.0,0.0,1.0,0.0,27.378782840662364,19.955931792715248,0.027500000000000052,-0.06256506473690603,5731.11426,500.0,7.006071929005138,124325.85879999999,1742.0718187762727,8.154865503311157,47.96718,0.472,long_only,1.6666666666666667,9.0,0.0,0.7622765960861273,0.0029518042981480086,-0.00033730887865080286,1774743900.0,long,315.0,long,2.0,1.2,1.0,0.0,0.0,1.0,0.0,39.802588275797966,31.937861575049936,39.802588275797966,inf,5.060899099267145,43.777151073890465,-71.59276173888396,2.0,1.2,1.0,0.0,0.0,1.0,0.0,39.802588275797966,31.937861575049936,39.802588275797966,inf,5.060899099267145,43.777151073890465,-71.59276173888396,0.0,0.0,,,,,,,,,,,,,,False,enrichment_error; strategy_signal_count<3,"['enrichment_error', 'strategy_signal_count<3']",3.48121223818983,0.980544747081712,0.9853004755728492,0.9044530912235192,0.9922178988326849,0.9153778942769768,1.0,1.0,0.550000000000001,1.0,0.8500000000000004,85.98193253733027,95.13261082297959,False,['enrichment_error'],enrichment_error,0.8976034858387799,0.8971677559912854,0.7389277389277389,0.8519813519813519,0.0,0.4994172494172494,0.7225591510885627,72.25591510885627
mexc,TAOUSDT,TAO-USDT,TAO,USDT,True,1,True,328.93,11622060.78,36521.379,328.85,0.035,328.93,11.67,3.0254439839036067,16.19842,0.01,0.01,0.01,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9953449005501481,0.9727659574468085,0.5293617021276595,89.65035250898156,330.48,330.58,330.53,0.0999999999999659,2081.36304,16.19842,200.0,200.0,4339.28604,2715.4611299999997,2715.4611299999997,41175.80539,23982.090330000003,23982.090330000003,183439.84043,107160.55286,107160.55286,263769.14591,180305.07158,180305.07158,313977.63057000004,274098.24339,274098.24339,3918.05972,36.36624,36.36624,17379.852290000003,2715.4611299999997,2715.4611299999997,480.0,1774694700.0,1774838400.0,480.0,0.0,1.0,0.0,40.989746617906285,28.843078772265056,0.05166335491314674,0.026792209787900294,26628.321345,500.0,70.42253521126761,121075.98915000001,17052.95621830986,4.0174078941345215,51.05599,0.524,long_only,1.6666666666666667,9.0,0.0,1.2166508432173353,2.781917069157089,0.40106867706525984,1774743600.0,long,316.0,long,1.0,0.6,1.0,0.0,0.0,1.0,0.0,118.6924785782284,115.6670345943248,118.6924785782284,inf,39.23142494447521,152.3325928276731,-6.664550936211766,1.0,0.6,1.0,0.0,0.0,1.0,0.0,118.6924785782284,115.6670345943248,118.6924785782284,inf,39.23142494447521,152.3325928276731,-6.664550936211766,0.0,0.0,,,,,,,,,,,,,,False,top_of_book_quote<250; enrichment_error; strategy_signal_count<3,"['top_of_book_quote<250', 'enrichment_error', 'strategy_signal_count<3']",13.548340949621183,0.995244271508863,0.9878945092952875,0.9684392563769996,0.6087332468655425,0.992125382262997,1.0,1.0,1.0,1.0,1.0,85.77570108224283,95.91415136623075,False,"['top_of_book_quote<250', 'enrichment_error']",top_of_book_quote<250; enrichment_error,0.7398692810457517,0.7396514161220044,0.7389277389277389,0.9533799533799534,0.0,0.4994172494172494,0.7056802565626095,70.56802565626094
mexc,TAOUSDC,TAO-USDC,TAO,USDC,True,1,True,328.62,2516270.01,7913.06,328.48,0.17,328.68,0.15,6.36585476757162,59.36039999999999,0.01,0.0,0.0,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9843419382141346,0.9204255319148936,0.7676595744680851,92.50263638901146,329.78,329.99,329.885,0.21000000000003638,59.36039999999999,59.3982,200.0,200.0,59.36039999999999,118.8054,59.36039999999999,178.0272,118.8054,118.8054,59484.345199999996,7764.175700000001,7764.175700000001,72669.9869,112025.08249999999,72669.9869,80915.5789,123740.0731,80915.5789,118.7028,118.8054,118.7028,237.3336,505.19579999999996,237.3336,480.0,1774694700.0,1774838400.0,480.0,0.0,1.0,0.0,40.50392903619687,28.791831512592186,0.04944309468967916,0.009805966431418123,5420.45075,500.0,63.1578947368421,22456.8139,2836.6501768421053,26.524380922317505,19.7109,0.492,long_only,1.6666666666666667,9.0,0.0,1.1975231868516953,2.7623475765648777,0.3860449462868223,1774743600.0,long,316.0,long,1.0,0.6,1.0,0.0,0.0,1.0,0.0,123.55874598990013,117.19289122232851,123.55874598990013,inf,19.409608057557687,150.87507543753765,-3.1763173776311326,1.0,0.6,1.0,0.0,0.0,1.0,0.0,123.55874598990013,117.19289122232851,123.55874598990013,inf,19.409608057557687,150.87507543753765,-3.1763173776311326,0.0,0.0,,,,,,,,,,,,,,False,top_of_book_quote<250; depth_10bps<1000; enrichment_error; strategy_signal_count<3,"['top_of_book_quote<250', 'depth_10bps<1000', 'enrichment_error', 'strategy_signal_count<3']",6.362685061954043,0.9840034587116299,0.9731949848681366,0.9208819714656291,0.8019887591872028,0.8605504587155963,1.0,1.0,0.9888618937935831,1.0,0.9962872979311944,84.9668719748496,94.51948280728864,False,"['top_of_book_quote<250', 'depth_10bps<1000', 'enrichment_error']",top_of_book_quote<250; depth_10bps<1000; enrichment_error,0.7398692810457517,0.7396514161220044,0.7389277389277389,0.9557109557109557,0.0,0.4994172494172494,0.7063795572619103,70.63795572619102
mexc,HYPEUSDT,HYPE-USDT,HYPE,USDT,True,1,True,38.16,6497535.05,167517.49,38.16,22.88,38.18,82.14,2.6195153896523933,493.9198,0.01,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9928057553956835,0.934468085106383,0.9740425531914894,97.44686973825196,38.17,38.18,38.175,0.00999999999999801,493.9198,1250.0132,200.0,200.0,3177.7126,2499.9719,2499.9719,20931.898699999998,21697.364700000002,20931.898699999998,51326.2517,57429.8704,51326.2517,77521.1433,82440.4917,77521.1433,89045.6498,89392.3412,89045.6498,493.9198,1250.0132,493.9198,3177.7126,2499.9719,2499.9719,480.0,1774694700.0,1774838400.0,480.0,0.0,1.0,0.0,24.03830736019592,20.636944939026698,0.04456606724003137,-0.04750882101987077,13394.099600000001,500.0,11.79245283018868,261072.06689999998,6157.360068396226,11.468734741210938,263.07465,0.516,long_only,1.6666666666666667,9.0,0.0,0.35905778616640704,-0.016715574119977816,0.03124095070592088,1774831200.0,long,24.0,long,2.0,1.2,0.5,0.0,0.0,1.0,0.0,-9.19813396708047,-11.817649356732863,-9.19813396708047,0.7213333333333303,-3.5113876419336676,48.91490381324082,-83.2477579242813,2.0,1.2,0.5,0.0,0.0,1.0,0.0,-9.19813396708047,-11.817649356732863,-9.19813396708047,0.7213333333333303,-3.5113876419336676,48.91490381324082,-83.2477579242813,0.0,0.0,,,,,,,,,,,,,,False,enrichment_error; strategy_signal_count<3; strategy_mean_net_edge_bps<0; strategy_profit_factor_proxy<0.95,"['enrichment_error', 'strategy_signal_count<3', 'strategy_mean_net_edge_bps<0', 'strategy_profit_factor_proxy<0.95']",9.176623834756617,0.9926502377864246,0.9744920017293558,0.9718979680069174,0.9688715953307393,0.922957623416339,1.0,1.0,0.8913213448006274,1.0,0.9637737816002092,84.89252446601053,97.32801528921607,False,['enrichment_error'],enrichment_error,0.8976034858387799,0.8971677559912854,0.391025641025641,0.6235431235431236,0.7794561933534743,0.4994172494172494,0.6623928823120222,66.23928823120222
mexc,XRPUSDT,XRP-USDT,XRP,USDT,True,1,True,1.3399,49556976.4745,37317738.6,1.3398,1478.59,1.3399,1959.33,0.7466865783086728,993.6534559999999,0.0001,0.1,0.1,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9987304274227676,0.9957446808510638,0.9902127659574468,99.62804584867774,1.3392,1.3393,1.3392499999999998,9.999999999998899e-05,12406.027392,993.6534559999999,200.0,200.0,84053.464787,70783.859086,70783.859086,272424.942625,322628.991201,272424.942625,525054.917471,879853.8857560001,525054.917471,543440.799181,887495.496014,543440.799181,706116.740902,1053395.447623,706116.740902,12406.027392,993.6534559999999,993.6534559999999,24833.303904,10365.502226,10365.502226,480.0,1774694700.0,1774838400.0,480.0,0.0,1.0,0.0,16.43779586077396,14.654384374883847,0.004386801449551692,-0.04305899228410394,86240.43033999999,500.0,29.15451895043732,452566.642331,26388.725500349858,4.295502662658691,129.228405,0.5,long_only,1.6666666666666667,9.0,0.0,0.8497936346014253,0.003633606908957976,-0.00021052268305309747,1774797900.0,long,135.0,long,1.0,0.6,1.0,0.0,0.0,1.0,0.0,11.33701156375233,10.590324985443658,11.33701156375233,inf,15.183092736756977,27.208827753004705,-10.581210792833806,1.0,0.6,1.0,0.0,0.0,1.0,0.0,11.33701156375233,10.590324985443658,11.33701156375233,inf,15.183092736756977,27.208827753004705,-10.581210792833806,0.0,0.0,,,,,,,,,,,,,,False,enrichment_error; strategy_signal_count<3,"['enrichment_error', 'strategy_signal_count<3']",22.014318106543946,0.9987029831387808,0.9956766104626027,0.9948119325551232,0.9818417639429312,0.9828090869375274,1.0,1.0,0.08773602899103383,0.9328560631152018,0.6735306973687453,83.7692650070398,96.18314485394599,False,['enrichment_error'],enrichment_error,0.7398692810457517,0.7396514161220044,0.7389277389277389,0.7727272727272727,0.0,0.4994172494172494,0.6514844523668053,65.14844523668053
mexc,TONUSDT,TON-USDT,TON,USDT,True,1,True,1.23,2480238.424,2013671.66,1.23,14492.72,1.231,1361.44,8.120178643929272,11205.97632,0.001,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9839187473550571,0.8919148936170213,0.987659574468085,96.16659493431537,1.231,1.232,1.2315,0.0009999999999998899,13670.16883,11205.97632,200.0,200.0,13670.16883,11205.97632,11205.97632,13670.16883,11205.97632,11205.97632,65850.97779,103161.96206,65850.97779,176582.29575,164531.40636,164531.40636,213649.85892,224244.82722,213649.85892,13670.16883,11205.97632,11205.97632,31780.836430000003,40849.76232,31780.836430000003,480.0,1774694700.0,1774838400.0,480.0,0.0,1.0,0.0,20.898303190546685,16.144407718921705,0.008928571428571444,-0.12939062368479248,4598.62809,500.0,6.476683937823834,145730.20559,1887.6969636010363,7.648725271224976,30.202380000000005,0.46,long_only,1.6666666666666667,9.0,0.0,0.7967983919460697,0.0021667934167335368,0.00021893843698504853,1774804500.0,long,113.0,long,1.0,0.6,1.0,0.0,0.0,1.0,0.0,24.610336341261974,16.4901576973327,24.610336341261974,inf,3.030762920426746,57.42411812961423,-8.203445447089175,1.0,0.6,1.0,0.0,0.0,1.0,0.0,24.610336341261974,16.4901576973327,24.610336341261974,inf,3.030762920426746,57.42411812961423,-8.203445447089175,0.0,0.0,,,,,,,,,,,,,,False,enrichment_error; strategy_signal_count<3,"['enrichment_error', 'strategy_signal_count<3']",2.5736260379161076,0.9835711197578901,0.9857328145265889,0.9001297016861219,0.9974059662775616,0.9106596767147226,1.0,1.0,0.17857142857142885,0.7868130189580538,0.6551281491764942,82.3315446988653,93.1808837342612,False,['enrichment_error'],enrichment_error,0.7398692810457517,0.7396514161220044,0.7389277389277389,0.803030303030303,0.0,0.4994172494172494,0.6605753614577143,66.05753614577144
mexc,XMRUSDT,XMR-USDT,XMR,USDT,True,1,True,331.04,1499629.32,4580.035,331.04,1.182,331.18,0.006,12.042389210020294,145.90604000000002,0.01,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9712230215827338,0.9485106382978723,0.2148936170212766,81.42790448492269,331.96,332.36,332.15999999999997,0.4000000000000341,286.48148,145.90604000000002,200.0,200.0,0.0,0.0,0.0,1111.9293499999999,3146.5424000000003,1111.9293499999999,16885.89118,23232.79465,16885.89118,73264.40674,67733.2933,67733.2933,114943.33662,99732.06359,99732.06359,1257.57638,3771.7364000000002,1257.57638,15229.14118,22607.14402,15229.14118,480.0,1774695000.0,1774838700.0,480.0,0.0,1.0,0.0,22.025542930191037,18.34025005803153,0.03914555876733136,0.10516963801838841,1395.546675,500.0,3.8501026694045173,65177.84603,501.88279797227926,9.976093769073486,18.266894999999998,0.574,long_only,1.6666666666666667,9.0,0.0,1.1209546667801165,0.6777752097691518,0.15331034993263126,1774791600.0,long,157.0,long,1.0,0.6,1.0,0.0,0.0,1.0,0.0,67.68397735663179,55.64158814661149,67.68397735663179,inf,5.620477479694224,70.76052178193405,-95.37287718434762,1.0,0.6,1.0,0.0,0.0,1.0,0.0,67.68397735663179,55.64158814661149,67.68397735663179,inf,5.620477479694224,70.76052178193405,-95.37287718434762,0.0,0.0,,,,,,,,,,,,,,False,top_of_book_quote<250; enrichment_error; strategy_signal_count<3,"['top_of_book_quote<250', 'enrichment_error', 'strategy_signal_count<3']",1.8290010849229077,0.9706009511456982,0.9718979680069174,0.8357111975789019,0.898400345871163,0.8404106596767147,1.0,1.0,0.7829111753466272,0.41450054246145385,0.7324705726026938,81.94826821801229,90.70059775801435,False,"['top_of_book_quote<250', 'enrichment_error']",top_of_book_quote<250; enrichment_error,0.7398692810457517,0.7396514161220044,0.7389277389277389,0.8951048951048951,0.0,0.4994172494172494,0.688197739080092,68.8197739080092
mexc,ZROUSDT,ZRO-USDT,ZRO,USDT,True,1,True,2.009,421841.552,211960.64,2.009,162.72,2.01,184.2,4.9689440993783345,144.93599999999998,0.001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.924672027084215,0.9391489361702128,0.9446808510638298,93.22930191516376,2.012,2.013,2.0125,0.0009999999999998899,209.4492,144.93599999999998,164.0,200.0,209.4492,144.93599999999998,144.93599999999998,2543.1141500000003,1946.1166199999998,1946.1166199999998,18690.23595,24248.643640000002,18690.23595,47654.07748,117664.60218,47654.07748,212478.01215,235889.20004999998,212478.01215,209.4492,144.93599999999998,144.93599999999998,2543.1141500000003,1946.1166199999998,1946.1166199999998,480.0,1774694700.0,1774838400.0,480.0,0.0,1.0,0.0,28.0248419394613,20.77320572797856,0.027377521613832737,-0.10185350236727675,907.43865,500.0,5.384063173007897,19424.15079,209.1617098707825,8.861958503723145,17.985725,0.502,long_only,1.6666666666666667,9.0,0.0,0.963550696351369,0.007556132416063344,0.00017578336307420318,1774797900.0,long,135.0,long,1.0,0.6,1.0,0.0,0.0,1.0,0.0,15.128593040847349,10.159648941469015,15.128593040847349,inf,3.0446293494708643,20.171457387796465,-70.60010085728652,1.0,0.6,1.0,0.0,0.0,1.0,0.0,15.128593040847349,10.159648941469015,15.128593040847349,inf,3.0446293494708643,20.171457387796465,-70.60010085728652,0.0,0.0,,,,,,,,,,,,,,False,quote_volume_24h<1e+06; top_of_book_quote<250; enrichment_error; strategy_signal_count<3,"['quote_volume_24h<1e+06', 'top_of_book_quote<250', 'enrichment_error', 'strategy_signal_count<3']",5.639999440317208,0.9230436662343278,0.964548205793342,0.9424989191526156,0.8975356679636836,0.890257754477938,1.0,1.0,0.5475504322766547,1.0,0.8491834774255516,81.75893085687986,92.8792079836328,False,"['quote_volume_24h<1e+06', 'top_of_book_quote<250', 'enrichment_error']",quote_volume_24h<1e+06; top_of_book_quote<250; enrichment_error,0.7398692810457517,0.7396514161220044,0.7389277389277389,0.7703962703962703,0.0,0.4994172494172494,0.6507851516675047,65.07851516675048
mexc,KITEUSDT,KITE-USDT,KITE,USDT,True,1,True,0.16024,240594.14537,1495777.76,0.16027,370.24,0.16043,4792.72,9.336777566836465,4.204696800000001,1e-05,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.8768514600084638,0.8642553191489362,0.7902127659574468,85.63746859833786,0.16058,0.16073,0.160655,0.00015000000000001124,844.0213264,4.204696800000001,106.0,152.0,844.0213264,4.204696800000001,4.204696800000001,844.0213264,781.4990328,781.4990328,4956.0422287,2793.6259609999997,2793.6259609999997,5359.4064524000005,3695.7086655,3695.7086655,7649.2872504,8723.9677098,7649.2872504,844.0213264,781.4990328,781.4990328,4954.8418064,2258.0396268,2258.0396268,480.0,1774695000.0,1774838700.0,480.0,0.0,1.0,0.0,53.9289659908822,53.23272931921847,0.044946575582413634,-0.05840479071875602,423.93839879999996,500.0,2.4092515258593,26775.6916727,129.01875203678122,9.27576231956482,21.2406784,0.476,long_only,1.6666666666666667,9.0,0.0,0.5274004320415422,-0.0001102750760224036,-5.895582945863515e-05,1774743600.0,long,317.0,long,3.0,1.7999999999999998,1.0,1.0,0.0,0.0,0.0,200.0,190.66322243316353,283.152751287367,inf,21.420666666665063,480.405280871099,-46.757716726354055,3.0,1.7999999999999998,1.0,1.0,0.0,0.0,0.0,200.0,190.66322243316353,283.152751287367,inf,21.420666666665063,480.405280871099,-46.757716726354055,0.0,0.0,,,,,,,,,,,,,,False,quote_volume_24h<1e+06; top_of_book_quote<250; depth_10bps<1000; enrichment_error,"['quote_volume_24h<1e+06', 'top_of_book_quote<250', 'depth_10bps<1000', 'enrichment_error']",5.77597202084302,0.874189364461738,0.8525724167747514,0.8785127539991353,0.34457414613056636,0.710091743119266,1.0,1.0,0.8989315116482727,1.0,0.9663105038827576,81.21485651351963,83.0289962718662,False,"['quote_volume_24h<1e+06', 'top_of_book_quote<250', 'depth_10bps<1000', 'enrichment_error']",quote_volume_24h<1e+06; top_of_book_quote<250; depth_10bps<1000; enrichment_error,0.9596949891067538,0.9596949891067538,0.7389277389277389,0.9976689976689976,0.0,0.4994172494172494,0.784936468759998,78.4936468759998
mexc,ONGUSDT,ONG-USDT,ONG,USDT,True,1,True,0.06088,314369.93215,5255721.15,0.06083,81.76,0.06089,64.94,9.818360333823852,5.586361800000001,1e-05,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9064748201438849,0.865531914893617,0.33617021276595743,78.21781723557324,0.06108,0.06114,0.06111,5.9999999999997555e-05,16.711488000000003,5.586361800000001,42.0,186.0,16.711488000000003,5.586361800000001,5.586361800000001,33.41750400000001,5.586361800000001,5.586361800000001,328.62415799999997,63.9291618,63.9291618,734.7916495000001,555.89769,555.89769,1009.0167611,596.1405106000001,596.1405106000001,33.41750400000001,5.586361800000001,5.586361800000001,328.62415799999997,19.1994658,19.1994658,480.0,1774695000.0,1774838700.0,480.0,0.0,1.0,0.0,42.47868854103249,49.34923110513482,0.037249283667621876,0.1550444516640568,329.15346255,500.0,6.896551724137931,11749.779590499998,162.06592538620689,12.914567232131958,10.2846136,0.502,long_only,1.6666666666666667,9.0,0.0,0.8176822039114588,0.0006243025421673182,-0.00011190049064020908,1774734900.0,long,346.0,long,3.0,1.7999999999999998,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,67.82610524214762,58.007744908323765,47.557899504581854,6.723554338076785,6.908088818913016,104.05690070576604,-39.55555675983491,3.0,1.7999999999999998,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,67.82610524214762,58.007744908323765,47.557899504581854,6.723554338076785,6.908088818913016,104.05690070576604,-39.55555675983491,0.0,0.0,,,,,,,,,,,,,,False,quote_volume_24h<1e+06; top_of_book_quote<250; depth_10bps<1000; enrichment_error,"['quote_volume_24h<1e+06', 'top_of_book_quote<250', 'depth_10bps<1000', 'enrichment_error']",4.326454427904335,0.9044530912235192,0.6584522265456118,0.869433635970601,0.4072632944228275,0.8829183049366536,1.0,1.0,0.7449856733524375,1.0,0.9149952244508125,80.71077364162825,81.78993515493691,False,"['quote_volume_24h<1e+06', 'top_of_book_quote<250', 'depth_10bps<1000', 'enrichment_error']",quote_volume_24h<1e+06; top_of_book_quote<250; depth_10bps<1000; enrichment_error,0.9596949891067538,0.9596949891067538,0.44463869463869465,0.8986013986013986,0.945619335347432,0.4994172494172494,0.7909203137166527,79.09203137166527
