symbol,session,n_probes,n_miss,max_n,has_min_month_file,has_session_bars,has_regular_bars,prior_close,prior_adv,has_quote_month_file,daily_eligible,first_trade_et,category
AGL,2025-08-27,10,10,0,0,0,0,30.75,22253665.0,0,0,,no_minute_file
AGMH,2025-08-27,10,10,0,1,0,0,2.6,183909.0,1,0,,no_session_bars_has_month_file
AGNC,2025-08-27,10,0,376,1,1,1,9.8,161065561.0,1,1,04:09,intra_session_sparse
AGNT,2025-08-27,10,0,311,1,1,1,10.9,11597240.0,1,1,07:24,intra_session_sparse
AGPU,2025-08-27,10,10,0,0,0,0,13.35,144064.0,0,0,,no_minute_file
AGRO,2025-08-27,10,0,239,1,1,1,8.43,4910234.0,1,1,09:27,intra_session_sparse
AGRZ,2025-08-27,10,10,0,0,0,0,,,0,0,,no_daily_history
AHCO,2025-08-27,10,1,264,1,1,1,9.21,11253182.0,1,1,07:58,intra_session_sparse
AHMA,2025-08-27,10,10,0,0,0,0,,,0,0,,no_daily_history
AI,2025-08-27,10,0,376,1,1,1,16.91,203734655.0,1,1,04:00,intra_session_sparse
AIAI,2025-08-27,10,10,0,0,0,0,,,0,0,,no_daily_history
AIB,2025-08-27,10,10,0,0,0,0,11.73,4967.0,0,0,,no_minute_file
AIDX,2025-08-27,10,10,0,0,0,0,,,0,0,,no_daily_history
AIFA,2025-08-27,10,10,0,0,0,0,1.25,31817.0,0,0,,no_minute_file
AIFC,2025-08-27,10,0,376,1,1,1,7.15,73951912.0,1,1,04:00,intra_session_sparse
AIFF,2025-08-27,10,0,328,1,1,1,2.71,11852887.0,1,1,04:00,intra_session_sparse
AIHS,2025-08-27,10,10,0,0,0,0,2.2,90832.0,0,0,,no_minute_file
AII,2025-08-27,10,2,69,1,1,1,18.93,1353307.0,1,0,09:30,intra_session_sparse
AIIA,2025-08-27,10,10,0,0,0,0,,,0,0,,no_daily_history
AIIO,2025-08-27,10,10,0,0,0,0,256.0,397517.0,0,0,,no_minute_file
AIM,2025-08-27,10,0,36,1,1,1,2.58,323267.0,1,0,09:35,intra_session_sparse
AIMD,2025-08-27,10,2,87,1,1,1,4.11,23384342.0,1,1,06:16,intra_session_sparse
AIOS,2025-08-27,10,10,0,0,0,0,76.0,81334.0,0,0,,no_minute_file
AIOT,2025-08-27,10,2,318,1,1,1,4.68,8134332.0,1,1,08:50,intra_session_sparse
AIP,2025-08-27,10,0,197,1,1,1,9.79,24707960.0,1,1,05:15,intra_session_sparse
AIRE,2025-08-27,10,0,301,1,1,1,9.248,2844532.0,1,1,04:01,intra_session_sparse
AIRJ,2025-08-27,10,0,114,1,1,1,4.76,438000.0,1,0,09:30,intra_session_sparse
AIRO,2025-08-27,10,10,0,0,0,0,23.53,16537522.0,0,0,,no_minute_file
AIRS,2025-08-27,10,2,168,1,1,1,6.36,5655813.0,1,1,08:29,intra_session_sparse
AISP,2025-08-27,10,0,230,1,1,1,4.78,3142523.0,1,1,04:03,intra_session_sparse
AIV,2025-08-27,10,0,280,1,1,1,7.79,16642704.0,1,1,09:30,intra_session_sparse
AIXC,2025-08-27,10,10,0,1,0,0,1.851,121946.0,1,0,,no_session_bars_has_month_file
AKBA,2025-08-27,10,0,376,1,1,1,3.09,13797712.0,1,1,04:00,intra_session_sparse
AKTS,2025-08-27,10,10,0,0,0,0,0.037,3065789.0,0,0,,no_minute_file
ALBT,2025-08-27,10,2,27,1,1,1,2.1,248070.0,1,0,07:24,intra_session_sparse
ALDX,2025-08-27,10,0,250,1,1,1,5.89,4758011.0,1,1,09:30,intra_session_sparse
ALEC,2025-08-27,10,0,282,1,1,1,2.36,3437022.0,1,1,04:43,intra_session_sparse
ALGS,2025-08-27,10,0,99,1,1,1,10.98,661585.0,1,0,08:08,intra_session_sparse
ALH,2025-08-27,10,10,0,0,0,0,,,0,0,,no_daily_history
ALHC,2025-08-27,10,0,333,1,1,1,15.68,56706240.0,1,1,09:30,intra_session_sparse
ALIS,2025-08-27,10,10,0,0,0,0,,,0,0,,no_daily_history
ALIT,2025-08-27,10,0,375,1,1,1,3.84,40644575.0,1,1,04:37,intra_session_sparse
ALKT,2025-08-27,10,10,0,0,0,0,24.785,45731769.0,0,0,,no_minute_file
ALLO,2025-08-27,10,0,304,1,1,1,1.16,6537156.0,1,1,05:20,intra_session_sparse
ALLR,2025-08-27,10,0,376,1,1,1,1.43,27939892.0,1,1,04:00,intra_session_sparse
ALLT,2025-08-27,10,0,170,1,1,1,7.89,4178670.0,1,1,09:30,intra_session_sparse
ALM,2025-08-27,10,0,188,1,1,1,4.28,3441983.0,1,1,04:48,intra_session_sparse
ALMS,2025-08-27,10,0,267,1,1,1,4.78,3107221.0,1,1,09:30,intra_session_sparse
ALMU,2025-08-27,10,10,0,1,0,0,20.85,5815556.0,1,0,,no_session_bars_has_month_file
ALOY,2025-08-27,10,2,53,1,1,1,6.215,306392.0,1,0,09:32,intra_session_sparse
ALP,2025-08-27,10,2,25,1,1,1,7.85,423093.0,1,0,09:36,intra_session_sparse
ALPS,2025-08-27,10,10,0,0,0,0,,,0,0,,no_daily_history
ALT,2025-08-27,10,0,364,1,1,1,3.44,10083453.0,1,1,07:00,intra_session_sparse
ALTG,2025-08-27,10,2,179,1,1,1,8.48,1932651.0,1,0,09:30,intra_session_sparse
ALTO,2025-08-27,10,2,103,1,1,1,1.05,251369.0,1,0,09:30,intra_session_sparse
ALVO,2025-08-27,10,0,194,1,1,1,8.12,4175081.0,1,1,04:52,intra_session_sparse
ALXO,2025-08-27,10,1,293,1,1,1,1.1,1545672.0,1,0,04:13,intra_session_sparse
AM,2025-08-27,10,0,348,1,1,1,17.77,52813209.0,1,1,09:30,intra_session_sparse
AMBO,2025-08-27,10,10,0,0,0,0,3.642,138478.0,0,0,,no_minute_file
AMBP,2025-08-27,10,2,273,1,1,1,3.67,4544176.0,1,1,09:30,intra_session_sparse
AMC,2025-08-27,10,0,376,1,1,1,2.86,34419829.0,1,1,04:00,intra_session_sparse
AMCI,2025-08-27,10,10,0,0,0,0,11.97,169506.0,0,0,,no_minute_file
AMCX,2025-08-27,10,1,185,1,1,1,7.15,5601449.0,1,1,09:30,intra_session_sparse
AMIX,2025-08-27,10,2,136,1,1,1,1.16,332071.0,1,0,04:02,intra_session_sparse
AMLX,2025-08-27,10,0,299,1,1,1,9.16,9238394.0,1,1,07:00,intra_session_sparse
AMN,2025-08-27,10,10,0,1,0,0,20.35,21895043.0,1,0,,no_session_bars_has_month_file
