trading_pair,screen_score,microstructure_screen_score,strategy_score,strategy_signal_count,strategy_hit_rate,strategy_mean_barrier_return_net_bps,strategy_profit_factor_proxy,strategy_ambiguous_rate,strategy_current_signal,strategy_recommended_side,quote_volume_24h,spread_bps,top_of_book_quote,sym_depth_quote_10bps
XMR-USDT,83.20956547947017,90.18502459138747,72.7463768115942,1,1.0,115.74246677013933,inf,0.0,0,long,1183591.1829,30.294768093550246,138.18661999999998,0.0
NKYC-USDT,81.4022337141995,87.5882639198011,72.1231884057971,1,1.0,45.09400224207536,inf,0.0,0,long,161915.0161,17.553383071261546,65.13504456679999,65.13504456679999
RXD-USDT,76.63282120199695,79.344557075792,72.56521739130436,6,0.5,-21.051379348491423,0.693330168263457,0.0,0,long,2241.5715,17.067364760382343,3.6244049037,3.6244049037
EPIC-USDT,76.52173593257491,81.5507193079147,68.9782608695652,1,1.0,11.61391464128053,inf,0.0,0,long,31442.3848,63.6314751747627,5.75659318,0.0
SHIB-USDT,75.7205540856881,80.43763845199223,68.64492753623188,1,1.0,6.974455585963387,inf,0.0,0,short,141628.4372,3.4007821799016327,0.17112502599999999,0.17112502599999999
MANA-USDT,75.17674489974482,78.51679705513025,70.16666666666667,1,1.0,19.76436402374453,inf,0.0,0,long,67525.3419,7.402837754473102,0.16216,0.16216
DIVI-USDT,74.3806544219787,73.01123563083407,76.43478260869564,2,0.5,11.115712556594602,23.948333333331405,0.0,0,long,31473.7466,84.70863151745337,0.6202152,0.0
XRP-USDT,74.28971414652077,85.2992820316409,57.775362318840585,1,1.0,-57.50539530638636,inf,0.0,0,long,1438683.6129,84.50809557641318,2014.7639760000002,0.0
RVN-USDT,73.65471414234213,71.52597284593254,76.84782608695652,2,1.0,166.90183781900544,inf,0.0,0,long,5612.8923,33.09816218099455,0.221605,0.0
ZSD-USDT,73.11956676310825,78.65338421870699,64.81884057971014,1,1.0,-13.670922662901596,inf,0.0,0,short,6852.741,17.852736620665887,0.8437970652,0.8437970652
PEP-USDT,72.39222168003889,79.44355787252859,61.815217391304344,2,0.5,-64.24273332743552,0.855185733599421,0.0,0,short,41470.1949,60.645161290322655,1.598099223186,0.0
INJ-USDT,69.64447714477363,78.56205127993672,56.268115942028984,2,0.5,-52.56539235412488,inf,0.0,0,short,29090.6759,70.42253521126767,0.19950000000000004,0.0
BDX-USDT,69.38431930752962,82.96541140626918,49.01268115942029,2,0.0,-70.8220651336468,0.0,0.0,0,long,25595.5832,21.206262084451254,3.03362655,0.0
LINK-USDT,69.23525375940964,79.48387703862959,53.862318840579704,2,0.0,-35.314891112418316,,0.0,0,long,591343.1026,35.314891112418316,0.4255,0.0
ADA-USDT,69.22628447574147,69.9037108412116,68.21014492753623,1,1.0,4.7144219260610996,inf,0.0,0,long,6247.7019,45.20238339839809,0.158535,0.0
ERG-USDT,69.11306341581478,72.97104772201014,63.326086956521735,1,1.0,-18.41119397327447,inf,0.0,0,long,2679.1827,39.93465238700474,17.282963,0.0
ARB-USDT,68.9905541435701,70.48908782382456,66.7427536231884,3,0.3333333333333333,-37.15176145601151,0.3363499245852221,0.0,0,long,50111.6629,22.27171492204809,0.136648,0.0
ZANO-USDT,68.98901998625142,67.29570963892145,71.52898550724636,1,1.0,84.06386657174741,inf,0.0,0,long,116944.3583,115.93613342825259,2.4725,0.0
AVAX-USDT,68.39846875721744,79.88633681758463,51.16666666666667,3,0.0,-57.57052389176823,,0.0,0,long,294758.3657,57.57052389176823,0.5226000000000001,0.0
BCH-USDT,68.29868669153456,83.77438120086677,45.08514492753624,7,0.0,-152.72327770437943,0.0,0.0,0,short,655015.2621,83.81120423467164,0.159355,0.0
