connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,last_price,quote_volume_24h,volume_base_24h,bid_price,ask_price,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,rule_estimate_source,last_trade_at_ms,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score
nonkyc,USDC/USDT,USDC-USDT,USDC,USDT,True,active,0.9983,2381417.7071,2381306.71,0.9977,0.9988,11.01928374655637,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774313071901.0,False,0.9742489270386266,0.9608695652173913,0.0,77.60543011755925
nonkyc,XRP/USDT,XRP-USDT,XRP,USDT,True,active,1.4236,3444139.6622,2432681.87,1.4235,1.4269,23.856300870053815,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774314102384.0,False,0.9914163090128756,0.9173913043478261,0.0,77.4626796044038
nonkyc,LINK/USDT,LINK-USDT,LINK,USDT,True,active,9.1,2152193.1076,238769.27,9.09,9.11,21.97802197802151,,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774314080085.0,False,0.9699570815450643,0.9217391304347826,0.0,76.3911177458481
nonkyc,TRX/USDT,TRX-USDT,TRX,USDT,True,active,0.3077,426213.6392,1385636.28,0.3076,0.308,12.995451591943194,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774314101895.0,False,0.9527896995708155,0.9521739130434783,0.0,76.20778130248182
nonkyc,SHIB/USDT,SHIB-USDT,SHIB,USDT,True,active,6.034e-06,495565.7249,82394343696.0,6.033e-06,6.05e-06,28.13870727468345,,1e-09,1.0,,,market.getlist.priceDecimals/quantityDecimals,1774314099707.0,False,0.9570815450643777,0.9043478260869565,0.0,75.24818063071469
nonkyc,ETH/USDT,ETH-USDT,ETH,USDT,True,active,2142.44,13926779.1676,6536.7058,2136.65,2150.6,65.07668085602575,,0.01,1e-05,,,market.getlist.priceDecimals/quantityDecimals,1774314109302.0,False,0.9957081545064378,0.7565217391304347,0.0,73.67699197611496
nonkyc,SOL/USDT,SOL-USDT,SOL,USDT,True,active,90.9,3067164.3191,34203.02,90.66,91.19,58.28979928512523,,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774314094762.0,False,0.9828326180257511,0.7782608695652173,0.0,73.51231573054675
nonkyc,XMR/USDT,XMR-USDT,XMR,USDT,True,active,351.89,2442432.7007,6865.316,350.11,352.01,54.12180254087556,,0.01,0.001,,,market.getlist.priceDecimals/quantityDecimals,1774314096806.0,False,0.9785407725321889,0.7869565217391304,0.0,73.49365553274866
nonkyc,NKYC/USDT,NKYC-USDT,NKYC,USDT,True,active,7.484608,164668.4111,21946.1666,7.477184,7.492093,19.91946571634608,,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774314004815.0,False,0.9098712446351931,0.9260869565217391,0.0,73.1950923679791
nonkyc,BTC/USDT,BTC-USDT,BTC,USDT,True,active,70676.94,16273451.3808,232.8021,70400.31,70928.24,74.709603968909,,0.01,1e-06,,,market.getlist.priceDecimals/quantityDecimals,1774314117200.0,False,1.0,0.7173913043478262,0.0,72.93478260869566
