connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,last_price,quote_volume_24h,volume_base_24h,bid_price,ask_price,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,rule_estimate_source,last_trade_at_ms,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score,best_bid,best_ask,mid_price,spread_abs,bid_top_quote,ask_top_quote,orderbook_levels_bid,orderbook_levels_ask,bid_depth_quote_5bps,ask_depth_quote_5bps,sym_depth_quote_5bps,bid_depth_quote_10bps,ask_depth_quote_10bps,sym_depth_quote_10bps,bid_depth_quote_25bps,ask_depth_quote_25bps,sym_depth_quote_25bps,n_candles,candle_first_ts,candle_last_ts,candle_expected,candle_missing,coverage_ratio,zero_volume_fraction,natr_bps_mean,realized_vol_bps,efficiency_ratio,lag1_return_autocorr,median_quote_volume_per_bar,recent_trade_count,trades_per_minute,trade_quote_volume,trade_quote_volume_per_minute,last_trade_age_sec,median_trade_quote,buy_trade_fraction,vol_to_spread_ratio,volume_rank,depth_rank,spread_rank,top_rank,activity_rank,quality_rank,alpha_natr_score,alpha_efficiency_score,alpha_edge_score,alpha_rank,screen_score,rejection_reasons,rejection_reason,passed_filters
nonkyc,USDC/USDT,USDC-USDT,USDC,USDT,True,active,0.9983,2381417.7071,2381306.71,0.9977,0.9988,11.01928374655637,0.769076,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774313071901.0,False,0.9742489270386266,0.9608695652173913,0.0,77.60543011755925,0.9977,0.9988,0.9982500000000001,0.0010999999999999899,64.271834,0.769076,58,54,0.0,0.0,0.0,54659.682791,0.769076,0.769076,539727.856703,0.769076,0.769076,288,1774227300.0,1774313700.0,289,1,0.9965397923875432,0.0,15.09523573826137,13.24650303863091,0.0024618414574099166,-0.5515132827833755,3652.0903783,0,,,,,,,1.3698926432472323,0.925,0.9625,0.9375,0.7875,0.0,0.9980968858131487,0.5912696448551142,0.04923682914819833,0.18494632162361613,0.27515093187564293,75.48247817688791,"['top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,NKYC/USDT,NKYC-USDT,NKYC,USDT,True,active,7.484608,164668.4111,21946.1666,7.477184,7.492093,19.91946571634608,35.3791615646,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774314004815.0,False,0.9098712446351931,0.9260869565217391,0.0,73.1950923679791,7.477184,7.492093,7.4846385,0.014908999999999395,76.7704912832,35.3791615646,123,200,0.0,0.0,0.0,76.7704912832,35.3791615646,35.3791615646,193.6703647087,114.8514396728,114.8514396728,288,1774227900.0,1774314000.0,288,0,1.0,0.0,22.374600558867314,26.850160826351757,0.024456158560610328,-0.18705784219713054,591.2581282075,0,,,,,,,1.1232530469181474,0.7375,1.0,0.8875,0.925,0.0,1.0,1.0,0.48912317121220655,0.06162652345907371,0.5169165648904267,74.46916564890427,"['top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,BELLS/USDT,BELLS-USDT,BELLS,USDT,True,active,0.054073,55124.7915,1064218.49,0.05401,0.054085,13.876682547758671,0.5819546,1e-06,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774314107766.0,False,0.8240343347639485,0.9478260869565217,0.0,69.01754058593022,0.05401,0.054085,0.0540475,7.499999999999868e-05,66.00778140000001,0.5819546,68,200,0.0,0.0,0.0,142.01248674,0.5819546,0.5819546,142.01248674,0.5819546,0.5819546,288,1774220700.0,1774313700.0,311,23,0.9260450160771704,0.0,56.60799930085086,40.8782123852656,0.06799829048293857,-0.3721193231532744,117.931365625,0,,,,,,,4.079361122950387,0.5,0.95,0.9,0.725,0.0,0.9593247588424438,1.0,1.0,1.0,1.0,70.79324758842444,"['quote_volume_24h<100000', 'top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40', 'coverage_ratio<0.95']",quote_volume_24h<100000; top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40; coverage_ratio<0.95,False
nonkyc,TRX/USDT,TRX-USDT,TRX,USDT,True,active,0.3077,426213.6392,1385636.28,0.3076,0.308,12.995451591943194,0.16324,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774314101895.0,False,0.9527896995708155,0.9521739130434783,0.0,76.20778130248182,0.3076,0.308,0.30779999999999996,0.00040000000000001146,592.6190839999999,0.16324,54,60,0.0,0.0,0.0,12305.942909,0.16324,0.16324,64322.816248999996,0.16324,0.16324,288,1774225500.0,1774313700.0,295,7,0.976271186440678,0.0,16.741965225189574,15.571207143618029,0.03337453646477159,-0.21773353435791848,753.3306809999999,0,,,,,,,1.2882942240783006,0.8625,0.9,0.9125,0.2125,0.0,0.986949152542373,0.7284971020991312,0.6674907292954319,0.14414711203915032,0.5133783144779045,70.00327467020279,"['top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,LINK/USDT,LINK-USDT,LINK,USDT,True,active,9.1,2152193.1076,238769.27,9.09,9.11,21.97802197802151,0.7272,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774314080085.0,False,0.9699570815450643,0.9217391304347826,0.0,76.3911177458481,9.09,9.11,9.1,0.019999999999999574,0.7272,489.5714,63,87,0.0,0.0,0.0,0.0,0.0,0.0,0.7272,489.5714,0.7272,288,1774224600.0,1774313700.0,298,10,0.9664429530201343,0.0,23.464907828233294,33.747907337669496,0.09950248756218885,0.06654826033888751,3026.5950000000003,0,,,,,,,1.0676533061846376,0.9125,0.45,0.875,0.775,0.0,0.981543624161074,1.0,1.0,0.033826653092318804,0.6779422176974396,67.69485841858514,"['top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,HACD/USDT,HACD-USDT,HACD,USDT,True,active,4.6667,28137.9092,5602.2918,4.6662,4.6681,4.0710069314249875,0.197585781761,0.0001,1e-08,,,market.getlist.priceDecimals/quantityDecimals,1774313519541.0,False,0.7639484978540773,0.9782608695652174,0.0,66.47368912110468,4.6662,4.6681,4.6671499999999995,0.0019000000000000128,1.928000020716,0.197585781761,70,124,1.928000020716,0.197585781761,0.197585781761,1.928000020716,0.197585781761,0.197585781761,1.928000020716,0.197585781761,0.197585781761,288,1774226100.0,1774314000.0,294,6,0.9795918367346939,0.0,51.83470593916706,81.45177016215912,0.07507137147424946,-0.0868297304656762,63.57096575,0,,,,,,,12.73264988547273,0.35,0.925,0.975,0.4875,0.0,0.9887755102040816,1.0,1.0,1.0,1.0,66.28775510204082,"['quote_volume_24h<100000', 'top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",quote_volume_24h<100000; top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,XRP/USDT,XRP-USDT,XRP,USDT,True,active,1.4236,3444139.6622,2432681.87,1.4235,1.4269,23.856300870053815,0.156585,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774314102384.0,False,0.9914163090128756,0.9173913043478261,0.0,77.4626796044038,1.4235,1.4269,1.4252,0.0034000000000000696,0.156585,2027.382327,91,91,0.0,0.0,0.0,0.0,0.0,0.0,0.156585,40660.670466,0.156585,288,1774227600.0,1774313700.0,288,0,1.0,0.0,30.90712348612035,28.33359649056873,0.05516064827978383,-0.042780382509747236,6198.9999245,0,,,,,,,1.2955538938946418,0.975,0.45,0.8625,0.175,0.0,1.0,1.0,1.0,0.1477769469473209,0.7159256489824403,64.75925648982441,"['top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,BTC/USDT,BTC-USDT,BTC,USDT,True,active,70676.94,16273451.3808,232.8021,70400.31,70928.24,75.71760001188683,14037.39941214,0.01,1e-06,,,market.getlist.priceDecimals/quantityDecimals,1774314117200.0,False,1.0,0.7173913043478262,0.0,72.93478260869566,70400.31,70935.39,70667.85,535.0800000000017,14037.39941214,16194.97514934,105,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,1774226700.0,1774313700.0,291,3,0.9896907216494846,0.003472222222222222,26.307185925220796,33.017632134699724,0.07339214641168783,-0.2073785386705441,27178.370850000003,0,,,,,,,0.34743819034267936,1.0,0.45,0.4125,1.0,0.0,0.9927673969072166,1.0,1.0,0.0,0.6666666666666666,64.19434063573884,"['depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,SHIB/USDT,SHIB-USDT,SHIB,USDT,True,active,6.034e-06,495565.7249,82394343696.0,6.033e-06,6.05e-06,28.13870727468345,0.177858873,1e-09,1.0,,,market.getlist.priceDecimals/quantityDecimals,1774314099707.0,False,0.9570815450643777,0.9043478260869565,0.0,75.24818063071469,6.033e-06,6.05e-06,6.0415e-06,1.7000000000000007e-08,0.177858873,595.6003207,55,117,0.0,0.0,0.0,0.0,0.0,0.0,0.177858873,595.6003207,0.177858873,288,1774227300.0,1774314000.0,290,2,0.993103448275862,0.0,33.183210641096906,35.48505290820605,0.08395265620699158,-0.025950673700969484,770.6084335485,0,,,,,,,1.17927274757757,0.875,0.45,0.8375,0.4,0.0,0.9962068965517241,1.0,1.0,0.08963637378878497,0.696545457929595,63.52752354481319,"['top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,XMR/USDT,XMR-USDT,XMR,USDT,True,active,351.89,2442432.7007,6865.316,350.11,352.01,54.12180254087556,1.4004400000000001,0.01,0.001,,,market.getlist.priceDecimals/quantityDecimals,1774314096806.0,False,0.9785407725321889,0.7869565217391304,0.0,73.49365553274866,350.11,352.01,351.06,1.8999999999999773,1.4004400000000001,140.09998000000002,162,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,1774227600.0,1774314000.0,289,1,0.9965397923875432,0.0,50.47880824262303,34.50553994050004,0.03301259485253852,-0.2611495090838638,2817.7277599999998,0,,,,,,,0.9326889695608134,0.9375,0.45,0.6,0.825,0.0,0.9980968858131487,1.0,0.6602518970507704,0.0,0.5534172990169234,63.215141848300725,"['top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
